1;img/z18/1.png;В таблице приведены запросы к поисковому серверу. Для каждого запроса указан его код — соответствующая буква от А до Г. Расположите коды запросов слева направо в порядке возрастания количества страниц, которые нашёл поисковый сервер по каждому запросу. По всем запросам было найдено разное количество страниц. Для обозначения логической операции «ИЛИ» в запросе используется символ «|», а для логической операции «И» — «&»:{n} {n}{n}; ВБГА;{n}Чем больше в запросе операций «ИЛИ», тем больше результатов выдаёт поисковой сервер. Чем больше в запросе операций «И», тем меньше результатов выдаст поисковой сервер. Таким образом, ответ ВБГА.{n}
2;img/z18/2.png;В таблице приведены запросы к поисковому серверу. Для каждого запроса указан его код — соответствующая буква от А до Г. Расположите коды запросов слева направо в порядке возрастания количества страниц, которые нашёл поисковый сервер по каждому запросу. По всем запросам было найдено разное количество страниц. Для обозначения логической операции «ИЛИ» в запросе используется символ «|», а для логической операции «И» — «&»:{n} {n}{n}; ГВБА;{n}Чем больше в запросе «ИЛИ», тем больше результатов выдаёт поисковой сервер. Чем больше в запросе операций «И», тем меньше результатов выдаст поисковой сервер. Таким образом, ответ ГВБА.{n}
3;img/z18/3.png;В таблице приведены запросы к поисковому серверу. Для каждого запроса указан его код — соответствующая буква от А до Г. Расположите коды запросов слева направо в порядке возрастания количества страниц, которые нашёл поисковый сервер по каждому запросу. По всем запросам было найдено разное количество страниц. Для обозначения логической операции «ИЛИ» в запросе используется символ «|», а для логической операции «И» — «&»:{n} {n}{n}; ВГБА;{n}Чем больше в запросе «ИЛИ», тем больше результатов выдаёт поисковой сервер. Чем больше в запросе операций «И», тем меньше результатов выдаст поисковой сервер. Таким образом, ответ ВГБА.{n}
4;img/z18/4.png;В таблице приведены запросы к поисковому серверу. Для каждого запроса указан его код — соответствующая буква от А до Г. Расположите коды запросов слева направо в порядке возрастания количества страниц, которые нашёл поисковый сервер по каждому запросу. По всем запросам было найдено разное количество страниц. Для обозначения логической операции «ИЛИ» в запросе используется символ «|», а для логической операции «И» — «&»:{n} {n}{n}; БВГА;{n}Чем больше в запросе «ИЛИ», тем больше результатов выдаёт поисковой сервер. Чем больше в запросе операций «И», тем меньше результатов выдаст поисковой сервер. Таким образом, ответ БВГА.{n}
5;img/z18/5.png;В таблице приведены запросы к поисковому серверу. Для каждого запроса указан его код — соответствующая буква от А до Г. Расположите коды запросов слева направо в порядке убывания количества страниц, которые нашёл поисковый сервер по каждому запросу. По всем запросам было найдено разное количество страниц. Для обозначения логической операции «ИЛИ» в запросе используется символ «|», а для логической операции «И» — «&»:{n} {n}{n}; АГБВ;{n}Чем больше в запросе «ИЛИ», тем больше результатов выдаёт поисковой сервер. Чем больше в запросе операций «И», тем меньше результатов выдаст поисковой сервер. Таким образом, ответ АГБВ.{n}
6;img/z18/6.png;В таблице приведены запросы к поисковому серверу. Для каждого запроса указан его код — соответствующая буква от А до Г. Расположите коды запросов слева направо в порядке убывания количества страниц, которые нашёл поисковый сервер по каждому запросу. По всем запросам было найдено разное количество страниц. Для обозначения логической операции «ИЛИ» в запросе используется символ «|», а для логической операции «И» — «&»:{n} {n}{n}; АБВГ;{n}Чем больше в запросе «ИЛИ», тем больше результатов выдаёт поисковой сервер. Чем больше в запросе операций «И», тем меньше результатов выдаст поисковой сервер. Таким образом, ответ АБВГ.{n}
7;img/z18/7.png;В таблице приведены запросы к поисковому серверу. Для каждого запроса указан его код — соответствующая буква от А до Г. Расположите коды запросов слева направо в порядке убывания количества страниц, которые нашёл поисковый сервер по каждому запросу. По всем запросам было найдено разное количество страниц. Для обозначения логической операции «ИЛИ» в запросе используется символ «|», а для логической операции «И» — «&»:{n} {n}{n}; АБГВ;{n}Чем больше в запросе «ИЛИ», тем больше результатов выдаёт поисковой сервер. Чем больше в запросе операций «И», тем меньше результатов выдаст поисковой сервер. Таким образом, ответ АБГВ.{n}
8;img/z18/8.png;В таблице приведены запросы к поисковому серверу. Для каждого запроса указан его код — соответствующая буква от А до Г. Расположите коды запросов слева направо в порядке возрастания количества страниц, которые нашёл поисковый сервер по каждому запросу. По всем запросам было найдено разное количество страниц. Для обозначения логической операции «ИЛИ» в запросе используется символ «|», а для логической операции «И» — «&»:{n} {n}{n}; БВГА;{n}Чем больше в запросе «ИЛИ», тем больше результатов выдаёт поисковой сервер. Чем больше в запросе операций «И», тем меньше результатов выдаст поисковой сервер. Таким образом, ответ БВГА.{n}
9;img/z18/9.png;В таблице приведены запросы к поисковому серверу. Для каждого запроса указан его код — соответствующая буква от А до Г. Расположите коды запросов слева направо в порядке возрастания количества страниц, которые нашёл поисковый сервер по каждому запросу. По всем запросам было найдено разное количество страниц. Для обозначения логической операции «ИЛИ» в запросе используется символ «|», а для логической операции «И» — «&»:{n} {n}{n}; ГВБА;{n}Чем больше в запросе «ИЛИ», тем больше результатов выдаёт поисковой сервер. Чем больше в запросе операций «И», тем меньше результатов выдаст поисковой сервер. Таким образом, ответ ГВБА.{n}
10;img/z18/10.png;В таблице приведены запросы к поисковому серверу. Для каждого запроса указан его код — соответствующая буква от А до Г. Расположите коды запросов слева направо в порядке возрастания количества страниц, которые нашёл поисковый сервер по каждому запросу. По всем запросам было найдено разное количество страниц. Для обозначения логической операции «ИЛИ» в запросе используется символ «|», а для логической операции «И» — «&»:{n} {n}{n}; ВАБГ;{n}Чем больше в запросе «ИЛИ», тем больше результатов выдаёт поисковой сервер. Чем больше в запросе операций «И», тем меньше результатов выдаст поисковой сервер. Таким образом, ответ ВАБГ.{n}
