1;У исполнителя Квадратор две команды, которым присвоены номера:{n} {n}1.	вычти 3{n}2.	возведи в квадрат{n} {n}Первая из них уменьшает число на экране на 3, вторая возводит его во вторую степень. Исполнитель работает только с натуральными числами. Составьте алгоритм получения из числа 4 числа 49, содержащий не более 5 команд. В ответе запишите только номера команд. (Например, 21211 — это алгоритм: возведи в квадрат, вычти 3, возведи в квадрат, вычти 3, вычти 3, который преобразует число 3 в 30.) Если таких алгоритмов более одного, то запишите любой из них.{n}; 21112;{n}Заметим, что 49 = 72. Из числа 4 число 7 можно получить последовательностью команд 2111. Следовательно, искомый алгоритм: 21112.{n}
2;У исполнителя Квадратор две команды, которым присвоены номера:{n} {n}1.	вычти 1{n}2.	возведи в квадрат{n} {n}Первая из них уменьшает число на экране на 1, вторая возводит его во вторую степень. Исполнитель работает только с натуральными числами. Составьте алгоритм получения из числа 5 числа 80, содержащий не более 5 команд. В ответе запишите только номера команд. (Например, 21121 — это алгоритм: возведи в квадрат, вычти 1, вычти 1, возведи в квадрат, вычти 1, который преобразует число 3 в 48.) Если таких алгоритмов более одного, то запишите любой из них.{n}; 11221;{n}Заметим, что 81 = 92. Из числа 5 число 9 можно получить последовательностью команд 112. Следовательно, искомый алгоритм: 11221.{n}
3;У исполнителя Квадратор две команды, которым присвоены номера:{n} {n}1.	прибавь 1{n}2.	возведи в квадрат{n} {n}Первая из них увеличивает число на экране на 1, вторая возводит его во вторую степень. Исполнитель работает только с натуральными числами. Составьте алгоритм получения из числа 3 числа 84, содержащий не более 5 команд. В ответе запишите только номера команд. (Например, 11221 — это алгоритм: прибавь 1, прибавь 1, возведи в квадрат, возведи в квадрат, прибавь 1, который преобразует число 1 в 82.) Если таких алгоритмов более одного, то запишите любой из них.{n}; 22111;{n}Заметим, что 81 = 92. Из числа 3 число 9 можно получить командой 2. Следовательно, искомый алгоритм: 22111.{n}
4;У исполнителя Квадратор две команды, которым присвоены номера:{n} {n}1.	прибавь 3{n}2.	возведи в квадрат{n} {n}Первая из них увеличивает число на экране на 3, вторая возводит его во вторую степень. Исполнитель работает только с натуральными числами. Составьте алгоритм получения из числа 4 числа 58, содержащий не более 5 команд. В ответе запишите только номера команд. (Например, 22111 — это алгоритм: возведи в квадрат, возведи в квадрат, прибавь 3, прибавь 3, прибавь 3, который преобразует число 3 в 90.) Если таких алгоритмов более одного, то запишите любой из них.{n}; 12111;{n}Заметим, что 49 = 72. Из числа 4 число 7 можно получить командой 1. Далее возведем его в квадрат и командами 1 придём к числу 58. Следовательно, искомый алгоритм: 12111.{n}
5;У исполнителя Квадратор две команды, которым присвоены номера:{n} {n}1.	вычти 1{n}2.	возведи в квадрат{n} {n}Первая из них уменьшает число на экране на 1, вторая возводит его во вторую степень. Исполнитель работает только с натуральными числами. Составьте алгоритм получения из числа 2 числа 64, содержащий не более 5 команд. В ответе запишите только номера команд. (Например, 11121 — это алгоритм: вычти 1, вычти 1, вычти 1, возведи в квадрат, вычти 1, который преобразует число 7 в 15.) Если таких алгоритмов более одного, то запишите любой из них.{n}; 21212|22222;{n}Заметим, что 64 = 82. Из числа 2 число 8 можно получить последовательностью команд 2121. Следовательно, искомый алгоритм: 21212.{n} {n}Ответ: 21212.{n}
6;У исполнителя Квадратор две команды, которым присвоены номера:{n} {n}1. прибавь 1{n}2.	возведи в квадрат{n} {n}Первая из них увеличивает число на экране на 1, вторая возводит его во вторую степень. Исполнитель работает только с натуральными числами. Составьте алгоритм получения из числа 1 числа 100, содержащий не более 5 команд. В ответе запишите только номера команд. (Например, 12121 — это алгоритм: прибавь 1, возведи в квадрат, прибавь 1, возведи в квадрат, прибавь 1, который преобразует число 1 в 26.) Если таких алгоритмов более одного, то запишите любой из них.{n}; 11212;{n}Заметим, что 100 = 102. Из числа 1 число 10 можно получить последовательностью команд 1121. Следовательно, искомый алгоритм: 11212.{n}
7;У исполнителя Квадратор две команды, которым присвоены номера:{n} {n}1. прибавь 3{n}2.	возведи в квадрат{n} {n}Первая из них увеличивает число на экране на 3, вторая возводит его во вторую степень. Исполнитель работает только с натуральными числами. Составьте алгоритм получения из числа 6 числа 48, содержащий не более 5 команд. В ответе запишите только номера команд. (Например, 11211 — это алгоритм: прибавь 3, прибавь 3, возведи в квадрат, прибавь 3, прибавь 3, который преобразует число 4 в 106.) Если таких алгоритмов более одного, то запишите любой из них.{n}; 21111;{n}Из числа 6 число 36 можно получить командой 2. Далее будем использовать только команду 1. Следовательно, искомый алгоритм: 21111.{n}
8;У исполнителя Делитель две команды, которым присвоены номера:{n} {n} 1. раздели на 2{n}2.	вычти 1{n} {n}Первая из них уменьшает число на экране в 2 раза, вторая уменьшает его на 1. Исполнитель работает только с натуральными числами. Составьте алгоритм получения из числа 27 числа 3, содержащий не более 5 команд. В ответе запишите только номера команд. (Например, 12121 — это алгоритм: раздели на 2, вычти 1, раздели на 2, вычти 1, раздели на 2, который преобразует число 30 в 3.) Если таких алгоритмов более одного, то запишите любой из них.{n}; 21211;{n}Поскольку Делитель работает только с натуральными числами и число 27 — нечётное, первая команда должна быть 2. Из числа 26 число 3 можно получить последовательностью команд 1211. Следовательно, искомый алгоритм: 21211.{n}
9;У исполнителя Делитель две команды, которым присвоены номера:{n} {n}1. раздели на 2{n}2.	вычти 3{n} {n}Первая из них уменьшает число на экране в 2 раза, вторая уменьшает его на 3. Исполнитель работает только с натуральными числами. Составьте алгоритм получения  из числа 41 числа 4, содержащий не более 5 команд. В ответе запишите только номера команд. (Например, 11122 — это алгоритм: раздели на 2, раздели на 2, раздели на 2, вычти 3, вычти 3, который преобразует число 88 в 5.) Если таких алгоритмов более одного, то запишите любой из них.{n}; 21211;{n}Поскольку Делитель работает только с натуральными числами и число 41 — нечётное, первая команда должна быть 2. Из числа 38 число 4 можно получить последовательностью команд 1211. Следовательно, искомый алгоритм: 21211.{n} {n}Ответ: 21211.{n}
10;У исполнителя Делитель две команды, которым присвоены номера:{n} {n}1. раздели на 2{n}2.	прибавь 1{n} {n}Первая из них уменьшает число на экране в 2 раза, вторая увеличивает его на 1. Исполнитель работает только с натуральными числами. Составьте алгоритм получения из числа 23 числа 4, содержащий не более 5 команд. В ответе запишите только номера команд. (Например, 11222 — это алгоритм: раздели на 2, раздели на 2,  прибавь 1, прибавь 1, прибавь 1, который преобразует число 36 в 12.) Если таких алгоритмов более одного, то запишите любой из них.{n}; 21112;{n}Поскольку Делитель работает только с натуральными числами и число 23 — нечётное, первая команда должна быть 2. Из числа 24 число 4 можно получить последовательностью команд 1112. Следовательно, искомый алгоритм: 21112.{n}
