1;Файл размером 64 Кбайт передаётся через некоторое соединение со скоростью 1024 бит в секунду. Определите размер файла (в Кбайт), который можно передать за то же время через другое соединение со скоростью 256 бит в секунду. В ответе укажите одно число — размер файла в Кбайт. Единицы измерения писать не нужно.{n}{n}; 16;{n}Определим время передачи:{n} {n} 64 Кбайт/1024 бит в секунду = (64 · 1024 · 8 бит)/(1024 бит в секунду) = 64 · 8 секунд.{n} {n}Вычислим размер файла: {n} {n}64 · 8 секунд · 256 бит в секунду = 64 · 256 байт = 16 Кбайт.{n} {n}Ответ: 16.{n} {n}Приведем другое решение.{n}Размер переданного файла = время передачи · скорость передачи. Заметим, что скорость передачи во втором случае в 1024/256 = 4 раза меньше скорости передачи в первом случае. Поскольку время передачи файлов одинаково, размер файла, который можно передать во втором случае, тоже в 4 раза меньше. Он будет равен 64/4 = 16 Кбайт.{n}
2;Файл размером 100 Кбайт передаётся через некоторое соединение со скоростью 1536 бит в секунду. Определите размер файла (в Кбайт), который можно передать за то же время через другое соединение со скоростью 768 бит в секунду. В ответе укажите одно число — размер файла в Кбайт. Единицы измерения писать не нужно.{n}{n}; 50;{n}Определим время передачи: {n} {n}100 Кбайт/1536 бит в секунду = 100 · 1024 · 8 бит/3 · 512 бит в секунду = 100 · 16/3 секунд. {n} {n}Вычислим размер файла:{n} {n}100 · 16/3 секунд · 768 бит в секунду = 100 · 512 · 8 бит = 50 Кбайт.{n} {n} {n}Приведем другое решение.{n}Размер переданного файла = время передачи · скорость передачи. Заметим, что скорость передачи во втором случае в 1536/768 = 2 раза меньше скорости в первом случае. Поскольку время передачи файлов одно и то же, размер файла, который можно передать во втором случае, тоже в 2 раза меньше. Он будет равен 100/2 = 50 Кбайт.{n}
3;Файл размером 160 Кбайт передаётся через некоторое соединение со скоростью 2048 бит в секунду. Определите размер файла (в Кбайт), который можно передать за то же время через другое соединение со скоростью 768 бит в секунду. В ответе укажите одно число — размер файла в Кбайт. Единицы измерения писать не нужно.{n}; 60;{n}Определим время передачи: {n} {n}160 Кбайт/2048 бит в секунду = (160 · 1024 · 8 бит)/(2 · 1024 бит в секунду) = 160 · 4 секунд.{n} {n} Вычислим размер файла: {n} {n}160 · 4 секунд · 768 бит в секунду = 60 Кбайт.{n} {n}
4;Файл размером 60 Кбайт передаётся через некоторое соединение со скоростью 3072 бит в секунду. Определите размер файла (в Кбайт), который можно передать за то же время через другое соединение со скоростью 256 бит в секунду. В ответе укажите одно число — размер файла в Кбайт. Единицы измерения писать не нужно.{n}{n}; 5;{n}Определим время передачи: {n} {n}60 Кбайт/3072 бит в секунду = (60 · 1024 · 8 бит)/(3 · 1024 бит в секунду) = 20 · 8 секунд. {n} {n}Вычислим размер файла: {n} {n}20 · 8 секунд · 256 бит в секунду = 5120 · 8 бит = 5 Кбайт.{n} {n} {n}Приведем другое решение.{n}Размер переданного файла = время передачи · скорость передачи. Заметим, что скорость передачи во втором случае в 3072/256 = 12 раз меньше скорости в первом случае. Поскольку время передачи файлов одно и то же, размер файла, который можно передать во втором случае, тоже в 12 раз меньше. Он будет равен 60/12 = 5 Кбайт.{n}
5;Файл размером 80 Кбайт передаётся через некоторое соединение со скоростью 1536 бит в секунду. Определите размер файла (в Кбайт), который можно передать за то же время через другое соединение со скоростью 768 бит в секунду. В ответе укажите одно число — размер файла в Кбайт. Единицы измерения писать не нужно.{n}{n}; 40;{n}Размер переданного файла = время передачи · скорость передачи. Заметим, что скорость передачи во втором случае в 1536/768 = 2 раза меньше скорости в первом случае. Поскольку время передачи файлов одно и то же, размер файла, который можно передать во втором случае, тоже в 2 раза меньше. Он будет равен 80/2 = 40 Кбайт.{n}
6;Файл размером 80 Кбайт передаётся через некоторое соединение со скоростью 2048 бит в секунду. Определите размер файла (в Кбайт), который можно передать за то же время через другое соединение со скоростью 768 бит в секунду. В ответе укажите одно число — размер файла в Кбайт. Единицы измерения писать не нужно.{n}{n}; 30;{n}Определим время передачи: {n} {n}80 Кбайт/2048 бит в секунду = (80 · 1024 · 8 бит)/(2048 бит в секунду) = 40 · 8 секунд.{n} {n} Вычислим размер файла: {n} {n}40 · 8 секунд · 768 бит в секунду = 30720 · 8 бит = 30 Кбайт.{n} {n}
7;Файл размером 120 Кбайт передаётся через некоторое соединение со скоростью 3072 бит в секунду. Определите размер файла (в Кбайт), который можно передать за то же время через другое соединение со скоростью 1024 бит в секунду. В ответе укажите одно число — размер файла в Кбайт. Единицы измерения писать не нужно.{n}{n}; 40;{n}Размер переданного файла = время передачи · скорость передачи. Заметим, что скорость передачи во втором случае в 3072/1024 = 3 раза меньше скорости в первом случае. Поскольку время передачи файлов одно и то же, размер файла, который можно передать во втором случае, тоже в 3 раза меньше. Он будет равен 120/3 = 40 Кбайт.{n}
8;Файл размером 1000 Кбайт передаётся через некоторое соединение в течение 1 минуты. Определите размер файла (в Кбайт), который можно передать через это соединение за 36 секунд. В ответе укажите одно число — размер файла в Кбайт. Единицы измерения писать не нужно.{n}; 600;{n}Вычислим скорость передачи данных по каналу: 1000 Кбайт/60 сек = 50/3 Кбайт/сек. Следовательно, размер файла, который можно передать за 36 секунд равен 50/3 Кбайт/сек · 36 сек = 600 Кбайт.{n}
9;Файл размером 4000 Кбайт передаётся через некоторое соединение в течение 1 минуты. Определите размер файла (в Кбайт), который можно передать через это соединение за 45 секунд. В ответе укажите одно число — размер файла в Кбайт. Единицы измерения писать не нужно.{n}; 3000;{n}Вычислим скорость передачи данных по каналу: 4000 Кбайт/60 сек = 200/3 Кбайт/сек. Следовательно, размер файла, который можно передать за 45 секунд равен 200/3 Кбайт/сек · 45 сек = 3000 Кбайт.{n} {n}Ответ: 3000.{n}
10;Файл размером 5000 Кбайт передаётся через некоторое соединение в течение 2 минут. Определите размер файла (в Кбайт), который можно передать через это соединение за 48 секунд. В ответе укажите одно число — размер файла в Кбайт. Единицы измерения писать не нужно.{n}; 2000;{n}Вычислим скорость передачи данных по каналу: 5000 Кбайт/120 сек = 125/3 Кбайт/сек. Следовательно, размер файла, который можно передать за 48 секунд равен 125/3 Кбайт/сек · 48 сек = 2000 Кбайт.{n}
