1;<b> {n}{n}а := 2 {n}b := 4{n}а := 2*а + 3*b {n}b := a/2*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной b после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной b.; 32;{n}Выполним программу:{n} {n}а := 2 {n}b := 4{n}а := 2*а + 3*b = 4 + 12 = 16{n}b := a/2*b = 8 · 4 = 32.{n}
2;<b> {n}а := 5 {n}b := 4{n}а := 2*а + 3*b {n}b := a/2*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной b после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной b.; 44;{n}Выполним программу:{n} {n}а := 5 {n}b := 4{n}а := 2*а + 3*b = 10 + 12 = 22{n}b := a/2*b = 11 · 4 = 44.{n}
3;<b> {n}а := 4 {n}b := 4{n}а := 2*а + 3*b {n}b := a/2*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной b после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной b.; 40;{n}Выполним программу:{n} {n}а := 4 {n}b := 4{n}а := 2*а + 3*b = 8 + 12 = 20{n}b := a/2*b = 10 · 4 = 40.{n}
4;<b> {n}а := 6 {n}b := 4{n}а := 2*а + 3*b {n}b := a/2*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной b после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной b.; 48;{n}Выполним программу:{n} {n}а := 6 {n}b := 4{n}а := 2*а + 3*b = 12 + 12 = 24{n}b := a/2*b = 12 · 4 = 48.{n}
5;<b> {n}а := 7 {n}b := 4{n}а := 2*а + 3*b {n}b := a/2*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной b после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной b.; 52;{n}Выполним программу:{n} {n}а := 7 {n}b := 4{n}а := 2*а + 3*b = 14 + 12 = 26{n}b := a/2*b = 13 · 4 = 52.{n}
6;<b> {n}а := 3 {n}b := 4{n}а := 2*а + 3*b {n}b := a/2*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной b после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной b.; 36;{n}Выполним программу:{n} {n}а := 3 {n}b := 4{n}а := 2*а + 3*b = 6 + 12 = 18{n}b := a/2*b = 9 · 4 = 36.{n}
7;<b> {n}а := 1 {n}b := 4{n}а := 2*а + 3*b {n}b := a/2*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной b после выполнения алгоритма:;В ответе укажите одно целое число — значение переменной b.; 28;{n}Выполним программу:{n} {n}а := 1 {n}b := 4{n}а := 2*а + 3*b = 2 + 12 = 14{n}b := a/2*b = 7 · 4 = 28.{n}
8;<b> {n}а := 4 {n}b := 2{n}b :=  a/2*b {n}a := 2*а + 3*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной a после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной a.; 20;{n}Выполним программу:{n} {n}а := 4 {n}b := 2{n}b := a/2*b = 4/2 · 2 = 4{n}a := 2*а + 3*b = 8 + 12 = 20.{n}
9;<b> {n}а := 6 {n}b := 1{n}b :=  a/2*b {n}a := 2*а + 3*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной a после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной a.; 21;{n}Выполним программу:{n} {n}а := 6 {n}b := 1{n}b := a/2*b = 3 · 1 = 3{n}a := 2*а + 3*b = 12 + 9 = 21.{n}
10;<b> {n}а := 8{n}b := 2{n}b :=  a/2*b {n}a := 2*а + 3*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной a после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной a.; 40;{n}Выполним программу:{n} {n}а := 8 {n}b := 2{n}b := a/2*b = 4 · 2 = 8{n}a := 2*а + 3*b = 16 + 24 = 40.{n}
11;<b> {n}а := 10 {n}b := 1{n}b :=  a/2*b {n}a := 2*а + 3*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной a после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной a.; 35;{n}Выполним программу:{n} {n}а := 10 {n}b := 1{n}b := a/2*b = 5 · 1 = 5{n}a := 2*а + 3*b = 20 + 15 = 35.{n}
12;<b> {n}а := 2 {n}b := 4{n}b :=  a/2*b {n}a := 2*а + 3*b{n} {n}</b>;В программе «:=» обозначает оператор присваивания, знаки «+», «-», «*» и «/» — соответственно операции сложения, вычитания, умножения и деления. Правила выполнения операций и порядок действий соответствуют правилам арифметики. Определите значение переменной a после выполнения алгоритма: ;В ответе укажите одно целое число — значение переменной a.; 16;{n}Выполним программу:{n} {n}а := 2 {n}b := 4{n}b := a/2*b = 1 · 4 = 4{n}a := 2*а + 3*b = 4 + 12 = 16.{n}
