1;2;None file;Между населёнными пунктами А, В, С, D, Е построены дороги, протяжённость которых (в километрах) приведена в таблице;Определите длину кратчайшего пути между пунктами А и E. Передвигаться можно только по дорогам, протяжённость которых указана в таблице.;6;5,7,8; Найдём все варианты маршрутов из A в E и выберем самый короткий.   Из пункта A можно попасть в пункт B. Из пункта B можно попасть в пункты C, D, E. Из пункта C можно попасть в пункт E. Из пункта D можно попасть в пункт E.   A—B: длина маршрута 1 км. A—B—C—E: длина маршрута 6 км. A—B—D—E: длина маршрута 7 км. A—B—E: длина маршрута 8 км. 
2;3;img/z3/2.png;Между населёнными пунктами А, В, С, D, Е построены дороги, протяжённость которых (в километрах) приведена в таблице;Определите длину кратчайшего пути между пунктами А и E. Передвигаться можно только по дорогам, протяжённость которых указана в таблице.;9;7,8,10; Найдём все варианты маршрутов из A в E и выберем самый короткий.   Из пункта A можно попасть в пункты B, С. Из пункта B можно попасть в пункты C, D. Из пункта C можно попасть в пункт D. Из пункта D можно попасть в пункт E.   A—B—C—D—E: длина маршрута 13 км. A—B—D—E: длина маршрута 10 км. A—C—D—E: длина маршрута 10 км. A—C—B—D—E: длина маршрута 9 км. 
3;2;img/z3/3.png;Между населёнными пунктами А, В, С, D, Е построены дороги, протяжённость которых (в километрах) приведена в таблице;Определите длину кратчайшего пути между пунктами А и E. Передвигаться можно только по дорогам, протяжённость которых указана в таблице.;10;9,11,12; Найдём все варианты маршрутов из A в E и выберем самый короткий.   Из пункта A можно попасть в пункты B, С. Из пункта B можно попасть в пункты C, E. Из пункта C можно попасть в пункт D. Из пункта D можно попасть в пункт E.   A—B—C—D—E: длина маршрута 10 км. A—B—E: длина маршрута 11 км. A—C—D—E: длина маршрута 12 км. 
4;3;img/z3/4.png;Между населёнными пунктами А, В, С, D, Е построены дороги, протяжённость которых (в километрах) приведена в таблице;Определите длину кратчайшего пути между пунктами А и E. Передвигаться можно только по дорогам, протяжённость которых указана в таблице.;7;5,6,9; Найдём все варианты маршрутов из A в E и выберем самый короткий.   Из пункта A можно попасть в пункт B. Из пункта B можно попасть в пункты C, D, E. Из пункта C можно попасть в пункт E. Из пункта D можно попасть в пункт E.   A—B—C—E: длина маршрута 9 км. A—B—E: длина маршрута 9 км. A—B—D—E: длина маршрута 7 км. 
5;2;img/z3/5.png;Между населёнными пунктами А, В, С, D, Е построены дороги, протяжённость которых (в километрах) приведена в таблице;Определите длину кратчайшего пути между пунктами А и E. Передвигаться можно только по дорогам, протяжённость которых указана в таблице.;9;8,10,11; Найдём все варианты маршрутов из A в E и выберем самый короткий.   Из пункта A можно попасть в пункты B, С. Из пункта B можно попасть в пункты C, D. Из пункта C можно попасть в пункт D. Из пункта D можно попасть в пункт E.   A—B—C—D—E: длина маршрута 9 км. A—B—D—E: длина маршрута 10 км. A—C—D—E: длина маршрута 11 км. 
6;2;img/z3/6.png;Между населёнными пунктами А, В, С, D, Е построены дороги, протяжённость которых (в километрах) приведена в таблице;Определите длину кратчайшего пути между пунктами А и E. Передвигаться можно только по дорогам, протяжённость которых указана в таблице.;10;9,11,12; Найдём все варианты маршрутов из A в E и выберем самый короткий.   Из пункта A можно попасть в пункты B, С. Из пункта B можно попасть в пункты C, E. Из пункта C можно попасть в пункт D. Из пункта D можно попасть в пункт E.   A—B—C—D—E: длина маршрута 17 км. A—B—E: длина маршрута 11 км. A—C—D—E: длина маршрута 12 км. A—C—B—E: длина маршрута 10 км. 
7;3;img/z3/7.png;Между населёнными пунктами А, В, С, D, Е построены дороги, протяжённость которых (в километрах) приведена в таблице;Определите длину кратчайшего пути между пунктами А и E. Передвигаться можно только по дорогам, протяжённость которых указана в таблице.;7;9,8,6; Найдём все варианты маршрутов из A в E и выберем самый короткий.   Из пункта A можно попасть в пункт B. Из пункта B можно попасть в пункты C, D, E. Из пункта C можно попасть в пункт E. Из пункта D можно попасть в пункт E.   A—B—C—E: длина маршрута 7 км. A—B—D—E: длина маршрута 8 км. A—B—E: длина маршрута 9 км. 
8;3;img/z3/8.png;Между населёнными пунктами А, В, С, D, Е построены дороги, протяжённость которых (в километрах) приведена в таблице;Определите длину кратчайшего пути между пунктами А и E. Передвигаться можно только по дорогам, протяжённость которых указана в таблице.;6;4,5,7; Найдём все варианты маршрутов из A в E и выберем самый короткий.   Из пункта A можно попасть в пункты B, C, D. Из пункта B можно попасть в пункт C. Из пункта C можно попасть в пункты D, E.   A—B—C—E: длина маршрута 7 км. A—С—E: длина маршрута 7 км. A—D—C—E: длина маршрута 6 км. 
9;1;img/z3/9.png;Между населёнными пунктами А, В, С, D, Е построены дороги, протяжённость которых (в километрах) приведена в таблице;Определите длину кратчайшего пути между пунктами А и E. Передвигаться можно только по дорогам, протяжённость которых указана в таблице.;6;7,8,9; Найдём все варианты маршрутов из A в E и выберем самый короткий.   Из пункта A можно попасть в пункты B, D. Из пункта B можно попасть в пункты C, D. Из пункта C можно попасть в пункты D, E.   A—B—C—E: длина маршрута 7 км. A—D—B—C—E: длина маршрута 9 км. A—D—C—E: длина маршрута 6 км. 
10;2;img/z3/10.png;Между населёнными пунктами А, В, С, D, Е построены дороги, протяжённость которых (в километрах) приведена в таблице;Определите длину кратчайшего пути между пунктами А и E. Передвигаться можно только по дорогам, протяжённость которых указана в таблице.;6;5,7,8; Найдём все варианты маршрутов из A в E и выберем самый короткий.   Из пункта A можно попасть в пункты B, C. Из пункта B можно попасть в пункты D, E. Из пункта C можно попасть в пункт D. Из пункта D можно попасть в пункт E.   A—B—E: длина маршрута 7 км. A—B—D—E: длина маршрута 6 км. A—C—D—E: длина маршрута 8 км. 
