1;1;Чертёжнику был дан для исполнения следующий алгоритм:{n}<pre><b>Повтори 2 раз</b>{n}Команда1 Сместиться на (3, 2) Сместиться на (2, 1) Конец{n}Сместиться на (−6, −4)</pre>;;После выполнения этого алгоритма Чертёжник вернулся в исходную точку. Какую команду надо поставить вместо команды Команда1?;Сместиться на (−2. −1);Сместиться на (1. 1),Сместиться на (−4. −2),Сместиться на (2. 1); Команда Повтори 2 раз означает, что команды Сместиться на (3, 2) и Сместиться на (2, 1) выполнятся два раза. В результате Чертёжник переместится на 2·(3 + 2, 2 + 1) = (10, 6). Выполнив последнюю команду Сместиться на (−6, −4), Чертёжник окажется в точке (4, 2).   Чтобы Чертёжник вернулся в исходную точку, необходимо переместить его на (−4, −2). Учитывая, наличие команды Повтори 2 раз, приходим к выводу, что Команда 1 это команда Сместиться на (−2, −1). 
2;1;Чертёжнику был дан для исполнения следующий алгоритм:{n}<pre>Повтори 4 paз{n}Команда1 Сместиться на (3, 3) Сместиться на (1,−2) Конец{n}Сместиться на (−8, 12)</pre>;;После выполнения этого алгоритма Чертёжник вернулся в исходную точку. Какую команду надо поставить вместо команды Команда1?;Сместиться на (−2. −4);Сместиться на (4.−13),Сместиться на (2. 4),Сместиться на (−8. −16); Команда Повтори 4 раз означает, что команды Сместиться на (3, 3) и Сместиться на (1,−2) выполнются четыре раза. В результате Чертёжник переместится на 4·(3 + 1, 3 − 2) = (16, 4). Выполнив последнюю команду Сместиться на (−8, 12), Чертёжник окажется в точке (8, 16).   Чтобы Чертёжник вернулся в исходную точку, необходимо, переместить его на (−8, −16). Учитывая, наличие команды Повтори 4, приходим к выводу, что Команда 1 это команда Сместиться на (−2, −4). 
3;4;Чертёжнику был дан для исполнения следующий алгоритм:{n}<pre>Повтори 3 paз{n}Команда1 Сместиться на (1, 3) Сместиться на (1, −2) Конец{n}Сместиться на (3, 9)</pre>;;После выполнения этого алгоритма Чертёжник вернулся в исходную точку. Какую команду надо поставить вместо команды Команда1? ;Сместиться на (−3. −4);Сместиться на (3. 4),Сместиться на (−5. −10),Сместиться на (−9. −12)  ; Команда Повтори 3 раз означает, что команды Сместиться на (1, 3) и Сместиться на (1,−2) выполнются три раза. В результате Чертёжник переместится на 3·(1 + 1, 3 − 2) = (6, 3). Выполнив последнюю команду Сместиться на (3, 9), Чертёжник окажется в точке (9, 12).   Чтобы Чертёжник вернулся в исходную точку, необходимо переместить его на (−9, −12). Учитывая, наличие команды Повтори 3, приходим к выводу, что Команда 1 это команда Сместиться на (−3, −4). 
4;3;Чертёжнику был дан для исполнения следующий алгоритм:{n}<pre>Повтори 3 paз{n}Команда1 Сместиться на (3, 2) Сместиться на (2, 1) Конец{n}Сместиться на (−9, −6)</pre>;;После выполнения этого алгоритма Чертёжник вернулся в исходную точку. Какую команду надо поставить вместо команды Команда1?;Сместиться на (−2. −1);Сместиться на (−6. −3),Сместиться на (4. 3),Сместиться на (2. 1); Проанализируем алгоритм. Благодаря тому, что присутствует команда Повтори 3, команды Сместиться на (3, 2) Сместиться на (2, 1) выполнятся три раза, в результате чего чертёжник переместится на 3·(3 + 2, 2 + 1) = (15, 9). Выполнив последнюю команду Сместиться на (−9, −6), чертёжник окажется в точке (6, 3).   Для того, чтобы чертёжник вернулся в исходную точку, необходимо, чтобы после выполнения алгоритма его координаты были (0, 0). Учитывая, наличие команды Повтори 3, приходим к выводу, что Команда 1 есть команда Сместиться на (−2, −1). 
5;4;Чертёжнику был дан для исполнения следующий алгоритм:{n}<pre>Повтори 2 paз{n}Команда1 Сместиться на (3, 3) Сместиться на (1, −2) Конец{n}Сместиться на (4, −6)</pre>;;После выполнения этого алгоритма Чертёжник вернулся в исходную точку. Какую команду надо поставить вместо команды Команда1?;Сместиться на (−6. 2);Сместиться на (6. −2),Сместиться на (−8. 5),Сместиться на (−12. 4); Команда Повтори 2 раз означает, что команды Сместиться на (3, 3) и Сместиться на (1, −2) выполнятся два раза. В результате чего Чертёжник переместится на 2·(3 + 1, 3 − 2) = (8, 2). Выполнив последнюю команду Сместиться на (4, −6), Чертёжник окажется в точке (12, −4).   Чтобы Чертёжник вернулся в исходную точку, необходимо переместить его на (−12, 4). Учитывая, наличие команды Повтори 2, приходим к выводу, что Команда 1 это команда Сместиться на (−6, 2). 
6;4;Чертёжнику был дан для исполнения следующий алгоритм:{n}<pre>Повтори 4 paз{n}Команда1 Сместиться на (1, 3) Сместиться на (1, −2) Конец{n}Сместиться на (−4, −12)</pre>;;После выполнения этого алгоритма Чертёжник вернулся в исходную точку. Какую команду надо поставить вместо команды Команда1?;Сместиться на (−1. 2);Сместиться на (1.−2),Сместиться на (12. 4),Сместиться на (2. 11); Команда Повтори 4 раз означает, что команды Сместиться на (1, 3) и Сместиться на (1, −2) выполнятся четыре раза. В результате Чертёжник переместится на 4·(1 + 1, 3 − 2) = (8, 4). Выполнив последнюю команду Сместиться на (−4, −12), чертёжник окажется в точке (4, −8). Чтобы Чертёжник вернулся в исходную точку, необходимо переместить его на (−4, 8). Учитывая, наличие команды Повтори 4, приходим к выводу, что Команда 1 это команда Сместиться на (−1, 2). 
7;2;Чертёжнику был дан для исполнения следующий алгоритм:{n}<pre>Команда1 Сместиться на (3, 2) Сместиться на (2, 1) Конец{n}Сместиться на (−12, −8){n}После выполнения этого алгоритма Чертёжник вернулся в исходную точку. Какую команду надо поставить вместо команды <b>Команда1</b>?</pre>;;1) Сместиться на (−8, −4);Сместиться на (−2. −1);Сместиться на (−8. −4),Сместиться на (7. 5),Сместиться на (2. 1); Команда Повтори 4 раз означает, что команды Сместиться на (3, 2) и Сместиться на (2, 1) выполнятся четыре раза. В результате Чертёжник переместится на 4·(3 + 2, 2 + 1) = (20, 12). Выполнив последнюю команду Сместиться на (−12, −8), Чертёжник окажется в точке (8, 4).   Чтобы Чертёжник вернулся в исходную точку, необходимо переместить его на (−8, −4). Учитывая, наличие команды Повтори 4, приходим к выводу, что Команда 1 это команда Сместиться на (−2, −1). 
8;1;Чертёжнику был дан для исполнения следующий алгоритм:{n}<pre>Команда1 Сместиться на (3, 2) Сместиться на (2, 1) Конец{n}Сместиться на (−12, −8){n}После выполнения этого алгоритма Чертёжник вернулся в исходную точку. Какую команду надо поставить вместо команды <b>Команда1</b>?</pre>;;1) Сместиться на (−8, −4);правильный шестиугольник;правильный треугольник,незамкнутая ломаная линия,правильный девятиугольник; Выполняя алгоритм, Черепашка оставляет след в виде одинаковых отрезков, расположенных под углом 180° − 60° = 120° друг к другу. Такой угол составляют между собой стороны правильного шестиугольника. Поэтому за первые шесть шагов алгоритма Черепашка нарисует правильный шестиугольник, а за следующие три шага пройдет по трём его сторонам ещё раз. Следовательно, оставленный Черепашкой след представляет собой правильный шестиугольник.   Примечание: Сумма внутренних углов выпуклого n-угольника равна 180°(n − 2), поэтому угол между его сторонами может быть найден по формуле 180°(1 − 2/n). 
9;4;Чертёжнику был дан для исполнения следующий алгоритм:{n}<pre>Команда1 Сместиться на (3, 2) Сместиться на (2, 1) Конец{n}Сместиться на (−12, −8){n}После выполнения этого алгоритма Чертёжник вернулся в исходную точку. Какую команду надо поставить вместо команды <b>Команда1</b>?</pre>;;1) Сместиться на (−8, −4);правильный треугольник;правильный шестиугольник,незамкнутая ломаная линия,правильный семиугольник ; Выполняя алгоритм, Черепашка оставляет след в виде одинаковых отрезков, расположенных под углом 180° − 120° = 60° друг к другу. Такой угол составляют между собой стороны правильного треугольника. Поэтому за первые три шага алгоритма Черепашка нарисует правильный треугольник, а за следующие четыре шага пройдет по трём его сторонам ещё раз. Следовательно, оставленный Черепашкой след представляет собой правильный треугольник.   Примечание: Сумма внутренних углов выпуклого n-угольника равна 180°(n − 2), поэтому угол между его сторонами может быть найден по формуле 180°(1 − 2/n). 
10;4;Чертёжнику был дан для исполнения следующий алгоритм:{n}<pre>Команда1 Сместиться на (3, 2) Сместиться на (2, 1) Конец{n}Сместиться на (−12, −8){n}После выполнения этого алгоритма Чертёжник вернулся в исходную точку. Какую команду надо поставить вместо команды <b>Команда1</b>?</pre>;;1) Сместиться на (−8, −4);правильный четырёхугольник;незамкнутая ломаная линия,правильный девятиугольник,правильный восьмиугольник; Выполняя алгоритм, Черепашка оставляет след в виде одинаковых отрезков, расположенных под углом 180° − 90° = 90° друг к другу. Такой угол составляют между собой стороны правильного четырёхугольника. Поэтому за первые четыре шага алгоритма Черепашка нарисует правильный четырёхугольник, а за следующие пять шагов пройдет по четырём его сторонам ещё раз. Следовательно, оставленный Черепашкой след представляет собой правильный четырёхугольник.   Примечание: Сумма внутренних углов выпуклого n-угольника равна 180°(n − 2), поэтому угол между его сторонами может быть найден по формуле 180°(1 − 2/n). 
