1;2;<b>С:\учёба\математика\ГИА</b>.;Пользователь находился в каталоге <b>Расписание</b>. Сначала он поднялся на один уровень вверх, затем спустился на один уровень вниз, потом ещё раз спустился на один уровень вниз. В результате он оказался в каталог;Укажите полный путь каталога, с которым пользователь начинал работу.;С:\учёба\Расписание;С:\учёба\2013\Расписание,С:\Расписание,С:\учёба\математика\Расписание; Выполним действия пользователя в обратном порядке, начиная из С:\учёба\математика\ГИА. Поднимемся на два уровня вверх, окажемся в С:\учёба. Теперь, спустившись на один уровень вниз, мы должны оказаться в каталоге Расписание. Таким образом, исходный каталог имеет полный путь С:\учёба\Расписание. 
2;4;<b>С:\учёба\математика\ГИА</b>.;Пользователь находился в каталоге <b>Расписание</b>. Сначала он поднялся на один уровень вверх, затем ещё раз поднялся на один уровень вверх, потом спустился на один уровень вниз. В результате он оказался в каталог;Укажите полный путь каталога, с которым пользователь начинал работу.;С:\учёба\математика\2013\Расписание;С:\учёба\Расписание,С:\учёба\математика\Расписание,С:\учёба\2013\Расписание; Выполним действия пользователя в обратном порядке, начиная из С:\учёба\математика\ГИА. Поднимемся на один уровень вверх, окажемся в С:\учёба\математика. Теперь, спустившись на два уровня вниз, мы должны оказаться в каталоге Расписание. Таким образом, исходный каталог имеет полный путь С:\учёба\математика\...\Расписание. 
3;3;<b>С:\учёба\химия\ГИА</b>. ;Пользователь находился в каталоге <b>Расписание</b>. Сначала он поднялся на один уровень вверх, затем спустился на один уровень вниз, потом ещё раз спустился на один уровень вниз. В результате он оказался в каталоге;Укажите полный путь каталога, с которым пользователь начинал работу.;С:\учёба\Расписание;С:\учёба\химия\Расписание,С:\учёба\2013\Расписание,С:\Расписание; Выполним действия пользователя в обратном порядке, начиная из С:\учёба\химия\ГИА. Поднимемся на два уровня вверх, окажемся в С:\учёба. Теперь, спустившись на один уровень вниз, мы должны оказаться в каталоге Расписание. Таким образом, исходный каталог имеет полный путь С:\учёба\Расписание. 
4;2;<b>С:\учёба\химия\ГИА</b>. ;Пользователь находился в каталоге <b>Расписание</b>. Сначала он поднялся на один уровень вверх, затем спустился на один уровень вниз, потом ещё раз спустился на один уровень вниз и ещё раз спустился на один уровень вниз. В результате он оказался в каталоге;Укажите полный путь каталога, с которым пользователь начинал работу.;С:\Расписание;С:\учёба\химия\Расписание,С:\учёба\2013\Расписание,С:\учёба\Расписание; Выполним действия пользователя в обратном порядке, начиная из С:\учёба\химия\ГИА. Поднимемся на три уровня вверх, окажемся в С:\. Теперь, спустившись на один уровень вниз, мы должны оказаться в каталоге Расписание. Таким образом, исходный каталог имеет полный путь С:\Расписание. 
5;4;<b>С:\учёба\информатика\ГИА</b>. ;Пользователь находился в каталоге <b>Расписание</b>. Сначала он поднялся на один уровень вверх, затем спустился на один уровень вниз, потом ещё раз спустился на один уровень вниз. В результате он оказался в каталоге;Укажите полный путь каталога, с которым пользователь начинал работу.;С:\учёба\Расписание;С:\учёба\2013\Расписание,С :\учёба\информатика\Расписание,С:\Расписание; Выполним действия пользователя в обратном порядке, начиная из С:\учёба\информатика\ГИА. Поднимемся на два уровня вверх, окажемся в С:\учёба. Теперь, спустившись на один уровень вниз, мы должны оказаться в каталоге Расписание. Таким образом, исходный каталог имеет полный путь С:\учёба\Расписание. 
6;1;<b>С:\учёба\информатика\ГИА</b>. ;Пользователь находился в каталоге <b>Расписание</b>.Сначала он поднялся на один уровень вверх, затем ещё раз поднялся на один уровень вверх, потом спустился на один уровень вниз. В результате он оказался в каталоге;Укажите полный путь каталога, с которым пользователь начинал работу.;С :\учёба\информатика\2013\Расписание;С:\учёба\Расписание,С:\учёба\2013\Расписание,С :\учёба\информатика\Расписание; Выполним действия пользователя в обратном порядке, начиная из С:\учёба\информатика\ГИА. Поднимемся на один уровень вверх, окажемся в С:\учёба\информатика. Теперь, спустившись на два уровня вниз, мы должны оказаться в каталоге Расписание. Таким образом, исходный каталог имеет полный путь С:\учёба\информатика\...\Расписание. 
7;2;<b>С:\учёба\информатика\ГИА</b>. ;Пользователь находился в каталоге <b>Расписание</b>.Сначала он поднялся на один уровень вверх, затем спустился на один уровень вниз, потом ещё раз спустился на один уровень вниз и ещё раз спустился на один уровень вниз. В результате он оказался в каталоге;Укажите полный путь каталога, с которым пользователь начинал работу.;С:\Расписание;С:\учёба\Расписание,С:\учёба\информатика\Расписание,С:\учёба\2013\Расписание; Выполним действия пользователя в обратном порядке, начиная из С:\учёба\информатика\ГИА. Поднимемся на три уровня вверх, окажемся в С:\. Теперь, спустившись на один уровень вниз, мы должны оказаться в каталоге Расписание. Таким образом, исходный каталог имеет полный путь С:\Расписание. 
8;4;<b>С:\учёба\информатика\ГИА</b>. ;В некотором каталоге хранился файл <b>Вьюга.doc</b>, имевший полное имя <b>D:\2013\Зима\Вьюга.doc</b> В этом каталоге создали подкаталог <b>Январь</b> и файл <b>Вьюга.doc</b> переместили в созданный подкаталог. Укажите полное имя этого файла после перемещения;1) D:\Январь\Вьюга.doc;D:\2013\Зима\Январь\Вьюга.doc;D:\Январь\Вьюга.doc,D:\2013\Зима\Вьюга.doc,D:\2013\Январь\Вьюга.doc; Полное имя файла после перемещения будет   D:\2013\Зима\Январь\Вьюга.doc. 
9;4;<b>С:\учёба\информатика\ГИА</b>. ;В некотором каталоге хранился файл <b>Вьюга.doc</b>. В этом каталоге создали подкаталог <b>Январь</b> и файл <b>Вьюга.doc</b> переместили в созданный подкаталог. Полное имя файла стало <b>D:\2013\Зима\Январь\Вьюга.doc</b>. Укажите полное имя этого файла до перемещения;1) D:\2013\Зима\Январь\Вьюга.doc;D:\2013\Зима\Вьюга.doc;D:\2013\Зима\Январь\Вьюга.doc,D:\2013\Вьюга.doc,D:\2013\Январь\Вьюга.doc; Полное имя файла до перемещения будет D:\2013\Зима\Вьюга.doc. 
10;1;<b>С:\учёба\информатика\ГИА</b>. ;В некотором каталоге хранился файл <b>Ландыш.dос</b>, имевший полное имя <b>D:\2013\Весна\Ландыш.doc</b> В этом каталоге создали подкаталог <b>Май</b> и файл <b>Ландыш.doc</b> переместили в созданный подкаталог. Укажите полное имя этого файла после перемещения.;1) D:\2013\Весна\Май\Ландыш.doc;D:\2013\Весна\Май\Ландыш.doc;D:\2013\Весна\Ландыш.doc,D:\2013\Май\Ландыш.doc,D:\Май\Ландыш.doc; Полное имя файла после перемещения будет D:\2013\Весна\Май\Ландыш.doc. 
