1;Некоторый алгоритм из одной цепочки символов получает новую цепочку следующим образом. Сначала вычисляется длина исходной цепочки символов. если она нечётна, то удаляется первый символ цепочки, а если чётна, то в середину цепочки добавляется символ А. В полученной цепочке символов каждая буква заменяется буквой, следующей за ней в русском алфавите (А — на Б, Б — на В и т. д., а Я — на А). Получившаяся таким образом цепочка является результатом работы алгоритма. {n} {n}Например, если исходной была цепочка РУКА, то результатом работы алгоритма будет цепочка СФБЛБ, а если исходной была цепочка СОН, то результатом работы алгоритма будет цепочка ПО.{n} {n}Дана цепочка символов БРА. Какая цепочка символов получится, если к данной цепочке применить описанный алгоритм дважды (т. е. применить алгоритм к данной цепочке, а затем к результату вновь применить алгоритм)? Русский алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ.{n}; ТБВ;{n}Применим алгоритм: БРА (нечётное) → РА → СБ. Применим его ещё раз: СБ (чётное) → САБ → ТБВ.{n}
2;Некоторый алгоритм из одной цепочки символов получает новую цепочку следующим образом. Сначала вычисляется длина исходной цепочки символов. если она нечётна, то удаляется средний символ цепочки, а если чётна, то в начало цепочки добавляется символ Л. В полученной цепочке символов каждая буква заменяется буквой, следующей за ней в русском алфавите (А — на Б, Б — на В и т. д., а Я — на А). Получившаяся таким образом цепочка является результатом работы алгоритма. {n}Например, если исходной была цепочка РУКА, то результатом работы алгоритма будет цепочка МСФЛБ, а если исходной была цепочка СОН, то результатом работы алгоритма будет цепочка ТО.{n}Дана цепочка символов РОГ. Какая цепочка символов получится, если к данной цепочке применить описанный алгоритм дважды (т. е. применить алгоритм к данной цепочке, а затем к результату вновь применить алгоритм)? Русский алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ.{n}; МТЕ;{n}Применим алгоритм: РОГ (нечётное) → РГ → СД. Применим его ещё раз: СД (чётное) → ЛСД → МТЕ.{n}
3;Некоторый алгоритм из одной цепочки символов получает новую цепочку следующим образом. Сначала вычисляется длина исходной цепочки символов. если она нечётна, то удаляется средний символ цепочки, а если чётна, то в конец цепочки добавляется символ В. В полученной цепочке символов каждая буква заменяется буквой, следующей за ней в русском алфавите (А — на Б, Б — на В и т. д., а Я — на А). Получившаяся таким образом цепочка является результатом работы алгоритма. {n}Например, если исходной была цепочка РУКА, то результатом работы алгоритма будет цепочка СФЛБГ, а если исходной была цепочка СОН, то результатом работы алгоритма будет цепочка ТО.{n}Дана цепочка символов БОТ. Какая цепочка символов получится, если к данной цепочке применить описанный алгоритм дважды (т. е. применить алгоритм к данной цепочке, а затем к результату вновь применить алгоритм)? Русский алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ.{n}; ГФГ;{n}Применим алгоритм: БОТ (нечётное) → БТ → ВУ. Применим его ещё раз: ВУ (чётное) → ВУВ → ГФГ.{n}
4;Некоторый алгоритм из одной цепочки символов получает новую цепочку следующим образом. Сначала вычисляется длина исходной цепочки символов. если она нечётна, то удаляется последний символ цепочки, а если чётна, то в начало цепочки добавляется символ О. В полученной цепочке символов каждая буква заменяется буквой, следующей за ней в русском алфавите (А — на Б, Б — на В и т. д., а Я — на А). Получившаяся таким образом цепочка является результатом работы алгоритма. {n}Например, если исходной была цепочка РУКА, то результатом работы алгоритма будет цепочка ПСФЛБ, а если исходной была цепочка СОН, то результатом работы алгоритма будет цепочка ТП.{n}Дана цепочка символов ТОН. Какая цепочка символов получится, если к данной цепочке применить описанный алгоритм дважды (т. е. применить алгоритм к данной цепочке, а затем к результату вновь применить алгоритм)? Русский алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ.{n}; ПФР;{n}Применим алгоритм: ТОН (нечётное) → ТО → УП. Применим его ещё раз: УП (чётное) → ОУП → ПФР.{n}
5;Некоторый алгоритм из одной цепочки символов получает новую цепочку следующим образом. Сначала вычисляется длина исходной цепочки символов. если она нечётна, то удаляется последний символ цепочки, а если чётна, то в середину цепочки добавляется символ Б. В полученной цепочке символов каждая буква заменяется буквой, следующей за ней в русском алфавите (А — на Б, Б — на В и т. д., а Я — на А). Получившаяся таким образом цепочка является результатом работы алгоритма. {n}Например, если исходной была цепочка РУКА, то результатом работы алгоритма будет цепочка СФВЛБ, а если исходной была цепочка СОН, то результатом работы алгоритма будет цепочка ТП.{n}Дана цепочка символов БРА. Какая цепочка символов получится, если к данной цепочке применить описанный алгоритм дважды (т. е. применить алгоритм к данной цепочке, а затем к результату вновь применить алгоритм)? Русский алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ.{n}; ГВТ;{n}Применим алгоритм: БРА (нечётное) → БР → ВС. Применим его ещё раз: ВС (чётное) → ВБС → ГВТ.{n}
6;Некоторый алгоритм из одной цепочки символов получает новую цепочку следующим образом. Сначала вычисляется длина исходной цепочки символов. если она нечётна, то удаляется средний символ цепочки, а если чётна, то в конец цепочки добавляется символ У. В полученной цепочке символов каждая буква заменяется буквой, следующей за ней в русском алфавите (А — на Б, Б — на В и т. д., а Я — на А). Получившаяся таким образом цепочка является результатом работы алгоритма. {n}Например, если исходной была цепочка РУКА, то результатом работы алгоритма будет цепочка СФЛБФ, а если исходной была цепочка СОН, то результатом работы алгоритма будет цепочка ТО.{n}Дана цепочка символов ТОН. Какая цепочка символов получится, если к данной цепочке применить описанный алгоритм дважды (т. е. применить алгоритм к данной цепочке, а затем к результату вновь применить алгоритм)? Русский алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ.{n}; ФПФ;{n}Применим алгоритм: ТОН (нечётное) → ТН → УО. Применим его ещё раз: УО (чётное) → УОУ → ФПФ.{n}
7;Некоторый алгоритм из одной цепочки символов получает новую цепочку следующим образом. Сначала вычисляется длина исходной цепочки символов. если она нечётна, то удаляется первый символ цепочки, а если чётна, то в начало цепочки добавляется символ Г. В полученной цепочке символов каждая буква заменяется буквой, следующей за ней в русском алфавите (А — на Б, Б — на В и т. д., а  Я — на А). Получившаяся таким образом цепочка является результатом работы алгоритма. {n}Например, если исходной была цепочка РУКА, то результатом работы алгоритма будет цепочка ДСФЛБ, а если исходной была цепочка СОН, то результатом работы алгоритма будет цепочка ПО.{n}Дана цепочка символов РОГ. Какая цепочка символов получится, если к данной цепочке применить описанный алгоритм дважды (т. е. применить алгоритм к данной цепочке, а затем к результату вновь применить алгоритм)? Русский алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ.{n}; ДРЕ;{n}Применим алгоритм: РОГ (нечётное) → ОГ → ПД. Применим его ещё раз: ПД (чётное) → ГПД → ДРЕ.{n}
8;Некоторый алгоритм из одной цепочки символов получает новую цепочку следующим образом. Сначала вычисляется длина исходной цепочки символов. если она чётна, то удаляется первый символ цепочки, а если нечётна, то в конец цепочки добавляется символ Н. В полученной цепочке символов каждая буква заменяется буквой, следующей за ней в русском алфавите (А — на Б, Б — на В и т. д., а Я — на А). Получившаяся таким образом цепочка является результатом работы алгоритма. {n}Например, если исходной была цепочка НОГА, то результатом работы алгоритма будет цепочка ПДБ, а если исходной была цепочка ТОН, то результатом работы алгоритма будет цепочка УПОО.{n}Дана цепочка символов КРОТ. Какая цепочка символов получится, если к данной цепочке применить описанный алгоритм дважды (т. е. применить алгоритм к данной цепочке, а затем к результату вновь применить алгоритм)? Русский алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ.{n}; ТРФО;{n}Применим алгоритм: КРОТ (чётное) → РОТ → СПУ. Применим его ещё раз: СПУ (нечётное) → СПУН → ТРФО.{n}
9;Некоторый алгоритм из одной цепочки символов получает новую цепочку следующим образом. Сначала вычисляется длина исходной цепочки символов. если она чётна, то удаляется последний символ цепочки, а если нечётна, то в начало цепочки добавляется символ Б. В полученной цепочке символов каждая буква заменяется буквой, следующей за ней в русском алфавите (А — на Б, Б — на В и т. д., а Я — на А). Получившаяся таким образом цепочка является результатом работы алгоритма. {n}Например, если исходной была цепочка НОГА, то результатом работы алгоритма будет цепочка ОПД, а если исходной была цепочка ТОН, то результатом работы алгоритма будет цепочка ВУПО.{n}Дана цепочка символов ПЛОТ. Какая цепочка символов получится, если к данной цепочке применить описанный алгоритм дважды (т. е. применить алгоритм к данной цепочке, а затем к результату вновь применить алгоритм)? Русский алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ.{n}; ВСНР;{n}Применим алгоритм: ПЛОТ (чётное) → ПЛО → РМП. {n}Применим его ещё раз: РМП (нечётное) → БРМП → ВСНР.{n}
10;Некоторый алгоритм из одной цепочки символов получает новую цепочку следующим образом. Сначала вычисляется длина исходной цепочки символов. если она чётна, то дублируется первый символ цепочки, а если нечётна, то в начало цепочки добавляется символ К. В полученной цепочке символов каждая буква заменяется буквой, следующей за ней в русском алфавите (А — на Б, Б — на В и т. д., а  Я — на А). Получившаяся таким образом цепочка является результатом работы алгоритма. {n}Например, если исходной была цепочка НОГА, то результатом работы алгоритма будет цепочка ООПДБ, а если исходной была цепочка ТОН, то результатом работы алгоритма будет цепочка ЛУПО.{n}Дана цепочка символов ГРОТ. Какая цепочка символов получится, если к данной цепочке применить описанный алгоритм дважды (т. е. применить алгоритм к данной цепочке, а затем к результату вновь применить алгоритм)? Русский алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ.{n}; ЛЕЕТРФ;{n}Применим алгоритм: ГРОТ (чётное) → ГГРОТ → ДДСПУ. {n}Применим его ещё раз: ДДСПУ (нечётное) → КДДСПУ → ЛЕЕТРФ.{n}
